type,year,n
벽돌구조,1916,2
벽돌구조,1922,1
벽돌구조,1934,1
벽돌구조,1935,1
벽돌구조,1946,2
벽돌구조,1949,3
벽돌구조,1950,5
벽돌구조,1953,4
벽돌구조,1955,1
벽돌구조,1956,4
벽돌구조,1957,3
벽돌구조,1958,8
벽돌구조,1959,20
벽돌구조,1960,27
벽돌구조,1961,45
벽돌구조,1962,23
벽돌구조,1963,44
벽돌구조,1964,73
벽돌구조,1965,154
벽돌구조,1966,172
벽돌구조,1967,278
벽돌구조,1968,315
벽돌구조,1969,422
벽돌구조,1970,626
벽돌구조,1971,467
벽돌구조,1972,360
벽돌구조,1973,472
벽돌구조,1974,596
벽돌구조,1975,434
벽돌구조,1976,441
벽돌구조,1977,358
벽돌구조,1978,303
벽돌구조,1979,93
벽돌구조,1980,157
벽돌구조,1981,173
벽돌구조,1982,94
벽돌구조,1983,188
벽돌구조,1984,200
벽돌구조,1985,199
벽돌구조,1986,255
벽돌구조,1987,211
벽돌구조,1988,360
벽돌구조,1989,514
벽돌구조,1990,830
벽돌구조,1991,930
벽돌구조,1992,600
벽돌구조,1993,1029
벽돌구조,1994,682
벽돌구조,1995,460
벽돌구조,1996,378
벽돌구조,1997,175
벽돌구조,1998,46
벽돌구조,1999,39
벽돌구조,2e3,46
벽돌구조,2001,19
벽돌구조,2002,11
벽돌구조,2003,14
벽돌구조,2004,19
벽돌구조,2005,10
벽돌구조,2006,12
벽돌구조,2007,32
벽돌구조,2008,16
벽돌구조,2013,1
벽돌구조,2014,28
벽돌구조,2015,5
일반목구조,1912,2
일반목구조,1916,2
일반목구조,1920,1
일반목구조,1921,1
일반목구조,1922,1
일반목구조,1926,5
일반목구조,1927,2
일반목구조,1929,2
일반목구조,1930,2
일반목구조,1931,4
일반목구조,1932,2
일반목구조,1933,5
일반목구조,1934,8
일반목구조,1935,5
일반목구조,1936,5
일반목구조,1937,3
일반목구조,1938,5
일반목구조,1939,3
일반목구조,1940,3
일반목구조,1941,1
일반목구조,1942,10
일반목구조,1943,5
일반목구조,1944,3
일반목구조,1945,6
일반목구조,1946,6
일반목구조,1947,15
일반목구조,1948,8
일반목구조,1949,12
일반목구조,1950,16
일반목구조,1951,4
일반목구조,1952,9
일반목구조,1953,11
일반목구조,1954,14
일반목구조,1955,22
일반목구조,1956,44
일반목구조,1957,39
일반목구조,1958,80
일반목구조,1959,64
일반목구조,1960,101
일반목구조,1961,142
일반목구조,1962,16
일반목구조,1963,18
일반목구조,1964,27
일반목구조,1965,37
일반목구조,1966,19
일반목구조,1967,8
일반목구조,1968,14
일반목구조,1969,13
일반목구조,1970,6
일반목구조,1971,3
일반목구조,1972,3
일반목구조,1973,3
일반목구조,1974,2
일반목구조,1975,3
일반목구조,1981,2
일반목구조,1982,5
일반목구조,1983,17
일반목구조,1984,4
일반목구조,1985,114
일반목구조,1987,2
일반목구조,1989,1
일반목구조,1998,1
일반목구조,1999,1
일반목구조,2004,2
일반목구조,2005,1
일반목구조,2006,3
일반목구조,2008,1
일반목구조,2012,1
일반목구조,2013,1
일반목구조,2015,1
철근콘크리트구조,1937,2
철근콘크리트구조,1956,1
철근콘크리트구조,1957,1
철근콘크리트구조,1958,2
철근콘크리트구조,1959,4
철근콘크리트구조,1960,3
철근콘크리트구조,1961,5
철근콘크리트구조,1962,7
철근콘크리트구조,1963,10
철근콘크리트구조,1964,20
철근콘크리트구조,1965,18
철근콘크리트구조,1966,18
철근콘크리트구조,1967,48
철근콘크리트구조,1968,58
철근콘크리트구조,1969,81
철근콘크리트구조,1970,119
철근콘크리트구조,1971,80
철근콘크리트구조,1972,56
철근콘크리트구조,1973,56
철근콘크리트구조,1974,33
철근콘크리트구조,1975,58
철근콘크리트구조,1976,83
철근콘크리트구조,1977,49
철근콘크리트구조,1978,55
철근콘크리트구조,1979,36
철근콘크리트구조,1980,82
철근콘크리트구조,1981,90
철근콘크리트구조,1982,64
철근콘크리트구조,1983,158
철근콘크리트구조,1984,288
철근콘크리트구조,1985,226
철근콘크리트구조,1986,305
철근콘크리트구조,1987,204
철근콘크리트구조,1988,300
철근콘크리트구조,1989,343
철근콘크리트구조,1990,477
철근콘크리트구조,1991,775
철근콘크리트구조,1992,546
철근콘크리트구조,1993,622
철근콘크리트구조,1994,571
철근콘크리트구조,1995,493
철근콘크리트구조,1996,621
철근콘크리트구조,1997,754
철근콘크리트구조,1998,317
철근콘크리트구조,1999,211
철근콘크리트구조,2e3,343
철근콘크리트구조,2001,419
철근콘크리트구조,2002,1002
철근콘크리트구조,2003,820
철근콘크리트구조,2004,594
철근콘크리트구조,2005,401
철근콘크리트구조,2006,286
철근콘크리트구조,2007,298
철근콘크리트구조,2008,460
철근콘크리트구조,2009,265
철근콘크리트구조,2010,377
철근콘크리트구조,2011,379
철근콘크리트구조,2012,337
철근콘크리트구조,2013,357
철근콘크리트구조,2014,326
철근콘크리트구조,2015,218
철근콘크리트구조,2016,239
철근콘크리트구조,2017,5
