category,location,years,value,sea
가오리류,부산광역시,1970,2533,동해
가오리류,경기도,1970,383,기타
가오리류,강원도,1970,191,동해
가오리류,충청남도,1970,451,기타
가오리류,전라북도,1970,75,기타
가오리류,전라남도,1970,1934,기타
가오리류,경상북도,1970,313,동해
가오리류,경상남도,1970,1789,기타
가오리류,제주도,1970,22,기타
가자미류,부산광역시,1970,5552,동해
가자미류,경기도,1970,3457,기타
가자미류,강원도,1970,496,동해
가자미류,충청남도,1970,624,기타
가자미류,전라북도,1970,506,기타
가자미류,전라남도,1970,3219,기타
가자미류,경상북도,1970,2476,동해
가자미류,경상남도,1970,5318,기타
갈치,부산광역시,1970,9412,동해
갈치,경기도,1970,20578,기타
갈치,강원도,1970,0,동해
갈치,충청남도,1970,4522,기타
갈치,전라북도,1970,11539.3,기타
갈치,전라남도,1970,14725,기타
갈치,경상북도,1970,0,동해
갈치,경상남도,1970,8219,기타
갈치,제주도,1970,87,기타
강달이류,부산광역시,1970,0,동해
강달이류,경기도,1970,0,기타
강달이류,충청남도,1970,229,기타
강달이류,전라북도,1970,368,기타
강달이류,전라남도,1970,5208,기타
강달이류,경상남도,1970,99,기타
고등어,부산광역시,1970,30083,동해
고등어,경기도,1970,678,기타
고등어,강원도,1970,329,동해
고등어,충청남도,1970,306,기타
고등어,전라북도,1970,376,기타
고등어,전라남도,1970,2119,기타
고등어,경상북도,1970,321,동해
고등어,경상남도,1970,2896,기타
고등어,제주도,1970,1148,기타
꽁치,부산광역시,1970,2446,동해
꽁치,경기도,1970,1,기타
꽁치,강원도,1970,6130,동해
꽁치,전라남도,1970,78,기타
꽁치,경상북도,1970,16151,동해
꽁치,경상남도,1970,230,기타
꽁치,제주도,1970,0,기타
학공치,부산광역시,1970,1,동해
학공치,강원도,1970,0,동해
학공치,충청남도,1970,0,기타
학공치,전라북도,1970,0,기타
학공치,전라남도,1970,58,기타
학공치,경상북도,1970,11,동해
학공치,경상남도,1970,169,기타
학공치,제주도,1970,0,기타
넙치류,부산광역시,1970,559,동해
넙치류,경기도,1970,437,기타
넙치류,강원도,1970,42,동해
넙치류,충청남도,1970,120,기타
넙치류,전라북도,1970,223,기타
넙치류,전라남도,1970,480,기타
넙치류,경상북도,1970,22,동해
넙치류,경상남도,1970,1236,기타
넙치류,제주도,1970,4,기타
노가리,강원도,1970,0,동해
노가리,경상북도,1970,0,동해
노가리,경상남도,1970,0,기타
농어류,부산광역시,1970,34,동해
농어류,경기도,1970,54,기타
농어류,강원도,1970,2,동해
농어류,충청남도,1970,59,기타
농어류,전라북도,1970,13.4,기타
농어류,전라남도,1970,93,기타
농어류,경상북도,1970,3,동해
농어류,경상남도,1970,164,기타
농어류,제주도,1970,16,기타
눈볼대,부산광역시,1970,1244,동해
눈볼대,경기도,1970,13,기타
눈볼대,강원도,1970,17,동해
눈볼대,전라남도,1970,0,기타
눈볼대,경상남도,1970,261,기타
능성어,부산광역시,1970,235,동해
능성어,경기도,1970,0,기타
능성어,충청남도,1970,1,기타
능성어,전라남도,1970,3,기타
능성어,경상남도,1970,81,기타
능성어,제주도,1970,39,기타
기타다랑어류,강원도,1970,0,동해
기타다랑어류,충청남도,1970,0,기타
기타다랑어류,전라남도,1970,0,기타
기타다랑어류,경상북도,1970,265,동해
기타다랑어류,경상남도,1970,13,기타
기타다랑어류,제주도,1970,0,기타
도루묵,부산광역시,1970,1880,동해
도루묵,경기도,1970,0,기타
도루묵,강원도,1970,8123,동해
도루묵,전라북도,1970,0,기타
도루묵,전라남도,1970,0,기타
도루묵,경상북도,1970,5644,동해
도루묵,경상남도,1970,463,기타
대구,부산광역시,1970,1317,동해
대구,경기도,1970,490,기타
대구,강원도,1970,190,동해
